"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happy",0.3778,0.2256,0,0,0,0,0,0,0,0,0.3062,0,0,0,0,0
"excited",0,0.4115,0,0,0,0,0,0,0.4681,0,0,0,0,0,0,0
"relaxed",0,0,0.2451,0,0,0,0,0,0,0,0,0.5186,0,0,0,0
"satisfied",0,0,0,0.2582,0,0,0,0,0.4037,0.0932,0,0,0,0,0,0
"angry",0,0,0,0,0.0554,0,0,0,0,0,-0.2649,0,0,0,0,0.3732
"anxious",0,0,0,0,0,-0.063,0,0,0,0,0,0,0,0,0,0
"depressed",0,0,0,0,0,0,0.1551,0,-0.0022,0,0,-0.4001,0,0,0,0
"sad",0,0,0,0,0,0,0,-0.0661,0,0,0,0,0,0,0.4015,0
