"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5188,0.4634,0.5878,-0.3527,-0.049,-0.421,-0.3246,0,0,0,0,0,0,0,0
"excitedlag",0.5188,1,0.4323,0.5302,-0.1527,-0.1716,-0.2654,-0.2154,0,0,0,0,0,0,0,0
"relaxedlag",0.4634,0.4323,1,0.6242,-0.2312,-0.0685,-0.2505,-0.2581,0,0,0,0,0,0,0,0
"satisfiedlag",0.5878,0.5302,0.6242,1,-0.2536,-0.1839,-0.2275,-0.3079,0,0,0,0,0,0,0,0
"angrylag",-0.3527,-0.1527,-0.2312,-0.2536,1,0.1321,0.5877,0.5965,0,0,0,0,0,0,0,0
"anxiouslag",-0.049,-0.1716,-0.0685,-0.1839,0.1321,1,0.1572,0.0437,0,0,0,0,0,0,0,0
"depressedlag",-0.421,-0.2654,-0.2505,-0.2275,0.5877,0.1572,1,0.4787,0,0,0,0,0,0,0,0
"sadlag",-0.3246,-0.2154,-0.2581,-0.3079,0.5965,0.0437,0.4787,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7371,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6404,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5554,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.582,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8528,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7324,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4589
